"Data";"Valuta";"Causale";"Descrizione";"Importo";"Divisa"
"28/06/2026";"28/06/2026";"PAGAMENTO POS";"Pagamento Pos Esselunga Milano";"-43.97";"EUR"
"15/06/2026";"15/06/2026";"PAGAMENTO POS";"Pagamento Pos Q8 Milano";"-56.98";"EUR"
"12/06/2026";"13/06/2026";"PRELIEVO";"Prelievo Atm Milano Via Manzoni";"-193.51";"EUR"
"09/06/2026";"09/06/2026";"PRELIEVO";"Prelievo Atm Milano Via Manzoni";"-103.95";"EUR"
"06/06/2026";"06/06/2026";"PAGAMENTO POS";"Pagamento Pos Esselunga Milano";"-52.03";"EUR"
"14/05/2026";"14/05/2026";"RICEZIONE BONIFICO ISTANTANEO";"Bonifico A Vostro Favore Acme Srl Emolumenti";"+2482.93";"EUR"
"10/05/2026";"11/05/2026";"ADDEBITO DIRETTO";"Addebito Sepa Dd Per Fattura A Vostro Carico Enel Energia";"-49.18";"EUR"
"05/05/2026";"06/05/2026";"PAGAMENTO POS";"Pagamento Pos Farmacia Centrale Milano";"-29.89";"EUR"
"26/04/2026";"27/04/2026";"PRELIEVO";"Prelievo Atm Milano Via Manzoni";"-187.02";"EUR"
"20/04/2026";"20/04/2026";"PAGAMENTO POS";"Pagamento Pos Farmacia Centrale Milano";"-24.00";"EUR"
"20/04/2026";"21/04/2026";"VOSTRA DISPOSIZIONE";"Disposizione Di Bonifico Rossi Immobiliare Canone";"-850.00";"EUR"
"28/03/2026";"28/03/2026";"VOSTRA DISPOSIZIONE";"Disposizione Di Bonifico Rossi Immobiliare Canone";"-850.00";"EUR"
"25/03/2026";"25/03/2026";"PAGAMENTO POS";"Pagamento Pos Farmacia Centrale Milano";"-18.77";"EUR"
"21/03/2026";"21/03/2026";"COMMISSIONI";"Commissioni E Spese Tenuta Conto";"-3.77";"EUR"
"17/03/2026";"18/03/2026";"COMMISSIONI";"Commissioni E Spese Tenuta Conto";"-1.96";"EUR"
"17/03/2026";"17/03/2026";"PAGAMENTO POS";"Pagamento Pos Q8 Milano";"-65.75";"EUR"
"13/03/2026";"14/03/2026";"PRELIEVO";"Prelievo Atm Milano Via Manzoni";"-196.76";"EUR"
"28/02/2026";"01/03/2026";"PAGAMENTO POS";"Pagamento Pos Esselunga Milano";"-38.72";"EUR"
"23/02/2026";"23/02/2026";"COMMISSIONI";"Commissioni E Spese Tenuta Conto";"-2.95";"EUR"
"23/02/2026";"23/02/2026";"RICEZIONE BONIFICO ISTANTANEO";"Bonifico A Vostro Favore Acme Srl Emolumenti";"+2489.89";"EUR"
"11/02/2026";"12/02/2026";"PAGAMENTO POS";"Pagamento Pos Farmacia Centrale Milano";"-39.55";"EUR"
"08/02/2026";"08/02/2026";"ADDEBITO DIRETTO";"Addebito Sepa Dd Per Fattura A Vostro Carico Enel Energia";"-93.69";"EUR"
"04/02/2026";"04/02/2026";"RICEZIONE BONIFICO ISTANTANEO";"Bonifico A Vostro Favore Acme Srl Emolumenti";"+2484.11";"EUR"
"10/01/2026";"10/01/2026";"PAGAMENTO POS";"Pagamento Pos Farmacia Centrale Milano";"-9.01";"EUR"
"05/01/2026";"05/01/2026";"RICEZIONE BONIFICO ISTANTANEO";"Bonifico A Vostro Favore Acme Srl Emolumenti";"+2459.44";"EUR"
"03/01/2026";"03/01/2026";"PRELIEVO";"Prelievo Atm Milano Via Manzoni";"-133.91";"EUR"
