Data Registrazione;Data valuta;Descrizione;Importo (EUR);
26.06.2026;26.06.2026;COMMISSIONI E SPESE TENUTA CONTO                  TRN:11XXXXXXXXX0040873 ;-1,56;
22.06.2026;22.06.2026;PAGAMENTO POS FARMACIA CENTRALE MILANO            TRN:11XXXXXXXXX0040873 ;-25,22;
20.06.2026;20.06.2026;PRELIEVO ATM MILANO VIA MANZONI                   TRN:11XXXXXXXXX0040873 ;-121,08;
15.06.2026;15.06.2026;PAGAMENTO POS Q8 MILANO                           TRN:11XXXXXXXXX0040873 ;-55,62;
11.06.2026;12.06.2026;PAGAMENTO POS ESSELUNGA MILANO                    TRN:11XXXXXXXXX0040873 ;-84,12;
23.05.2026;23.05.2026;PAGAMENTO POS Q8 MILANO                           TRN:11XXXXXXXXX0040873 ;-59,16;
04.05.2026;05.05.2026;PRELIEVO ATM MILANO VIA MANZONI                   TRN:11XXXXXXXXX0040873 ;-115,41;
25.04.2026;25.04.2026;BONIFICO A VOSTRO FAVORE ACME SRL EMOLUMENTI      TRN:11XXXXXXXXX0040873 ;2.481,12;
20.04.2026;20.04.2026;ADDEBITO SEPA DD PER FATTURA A VOSTRO CARICO ENEL ENERGIATRN:11XXXXXXXXX0040873 ;-57,38;
07.04.2026;07.04.2026;PRELIEVO ATM MILANO VIA MANZONI                   TRN:11XXXXXXXXX0040873 ;-100,00;
03.04.2026;03.04.2026;PAGAMENTO POS Q8 MILANO                           TRN:11XXXXXXXXX0040873 ;-41,42;
21.03.2026;22.03.2026;PRELIEVO ATM MILANO VIA MANZONI                   TRN:11XXXXXXXXX0040873 ;-133,79;
10.03.2026;10.03.2026;PRELIEVO ATM MILANO VIA MANZONI                   TRN:11XXXXXXXXX0040873 ;-159,12;
10.03.2026;10.03.2026;PAGAMENTO POS ESSELUNGA MILANO                    TRN:11XXXXXXXXX0040873 ;-16,05;
09.03.2026;10.03.2026;COMMISSIONI E SPESE TENUTA CONTO                  TRN:11XXXXXXXXX0040873 ;-1,45;
03.03.2026;04.03.2026;PAGAMENTO POS Q8 MILANO                           TRN:11XXXXXXXXX0040873 ;-46,77;
03.03.2026;03.03.2026;PAGAMENTO POS FARMACIA CENTRALE MILANO            TRN:11XXXXXXXXX0040873 ;-33,00;
02.03.2026;03.03.2026;PAGAMENTO POS Q8 MILANO                           TRN:11XXXXXXXXX0040873 ;-53,18;
27.02.2026;27.02.2026;COMMISSIONI E SPESE TENUTA CONTO                  TRN:11XXXXXXXXX0040873 ;-1,60;
18.02.2026;18.02.2026;BONIFICO A VOSTRO FAVORE ACME SRL EMOLUMENTI      TRN:11XXXXXXXXX0040873 ;2.462,38;
13.02.2026;13.02.2026;PRELIEVO ATM MILANO VIA MANZONI                   TRN:11XXXXXXXXX0040873 ;-162,51;
12.02.2026;13.02.2026;BONIFICO A VOSTRO FAVORE ACME SRL EMOLUMENTI      TRN:11XXXXXXXXX0040873 ;2.487,89;
06.02.2026;06.02.2026;COMMISSIONI E SPESE TENUTA CONTO                  TRN:11XXXXXXXXX0040873 ;-1,51;
14.01.2026;14.01.2026;PRELIEVO ATM MILANO VIA MANZONI                   TRN:11XXXXXXXXX0040873 ;-160,35;
11.01.2026;11.01.2026;PRELIEVO ATM MILANO VIA MANZONI                   TRN:11XXXXXXXXX0040873 ;-144,20;
10.01.2026;10.01.2026;PAGAMENTO POS Q8 MILANO                           TRN:11XXXXXXXXX0040873 ;-52,23;
